Name	Set	ImageFile	Rarity	Type	Color	Cost	Ability	Family	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5	Skill 6	Skill 7	Skill 8	Banned/Restricted
Mushalizard	BS31	BS31-001.jpg	Common	Spirit	Red	1		Reptile Beast									
Yaibird	BS31	BS31-002.jpg	Common	Spirit	Red	2		Emperor Beast	[LV1][LV2][LV3] (When Destroyed) When Soul Core is on this Spirit, destroy one opposing Spirit/Ultimate with 6000 BP or less.								
Hiendragon	BS31	BS31-003.jpg	Common	Spirit	Red	3	True-Clash	Vassal, War Dragon	"[LV1][LV2][LV3] While there is Soul Core on this Spirit, all your Spirits in the ""War Dragon"" family get +4000 BP."	[LV2][LV3] True-Clash (When Attacks) Your opponent must block with one of their Spirits/Ultimates if possible.							
Haganewurm	BS31	BS31-004.jpg	Common	Spirit	Red	3	True-Clash	Vassal, War Dragon	[LV1][LV2] (Your Attack Step) When your Spirit activates [True-Clash]/[Consecutive Blade], you can choose the Spirits/Ultimates your opponent blocks with. When this happens, you can also choose opposing exhausted Spirits/Ultimates.	[LV2] True-Clash (When Attacks) Your opponent must block with one of their Spirits/Ultimates if possible.							
The DemonMusha Raizan	BS31	BS31-005.png	Master Rare	Spirit	Red	4	True-Clash	Vassal, War Dragon	[LV1][LV2][LV3] True-Clash (When Attacks) Your opponent must block with one of their Spirits/Ultimates if possible.	[LV1][LV2][LV3] (When Attacks) Draw 1 card from your deck.	"[LV2][LV3] (Your Attack Step) When your Spirits in the ""War Dragon"" family are blocked by opposing Ultimates, the attacking Spirit gets +10000 BP."						
Homuracheetah	BS31	BS31-006.jpg	Common	Spirit	Red	4		Emperor Beast	[LV1][LV2] (When Attacks) Destroy 1 opposing Spirit with 4000 BP or less. If there is Soul Core on this Spirit, additionally, destroy 1 opposing Nexus.								
The Commander Ryuuman	BS31	BS31-007.png	Uncommon	Spirit	Red	5		War Dragon, Dragon	[LV1][LV2] (When Summoned) Destroy 1 opposing Spirit with 6000 BP or less. If Soul CoreCore) was used to pay the summon cost, destroy 1 opposing Ultimate with 15000 BP or less instead.								
Samurai-Dragon	BS31	BS31-008.png	Master Rare	Spirit	Red	5	Evolution (Awaken)	War Dragon	[LV1][LV2][LV3] Flash Evolution - You can move any number of cores from your Spirits to this Spirit.	[LV2][LV3] (Every Attack Step) When Soul Core is put on this Spirit through Evolution, for once per turn, refresh this Spirit, and this Spirit gets +5000 BP until end of turn.							
Yoroistego	BS31	BS31-009.png	Common	Spirit	Red	5		Terra Dragon									
Sengoku-Tiger	BS31	BS31-010.png	Rare	Spirit	Red	6		Emperor Beast	[LV1][LV2][LV3] (When Summoned) Destroy one opposing Spirit or Ultimate with 20000 BP or more.	[LV2][LV3] (When Attacks) Destroy one opposing Spirit with BP less than or equal to this Spirit's. When a Spirit with 7000 BP or more is destroyed by this effect, by sending Soul Core(Soul Core) on this Spirit to your trash, this Spirit is refreshed.							
The FireGeneralDragon Gouen	BS31	BS31-011.jpg	Common	Spirit	Red	7		Vassal, War Dragon	"[LV1][LV2] While there is Soul Core on this Spirit, all your Spirits in the ""War Dragon"" family get +10000 BP."	[LV2] (When Attacks) Destroy all opposing Spirits/Ultimates with 5000 BP or less.							
The RedBladeDragon The-Heat	BS31	BS31-012.jpg	Uncommon	Spirit	Red	8		Ancient Dragon	[LV1][LV2] (When Summoned) Destroy 2 opposing Spirits with 8000 BP or less.	[LV2] (When Attacks) If there is Soul Core on this Spirit, destroy 1 opposing Ultimate with 20000 BP or less.							
Gas Owl	BS31	BS31-013.jpg	Common	Spirit	Purple	1		Spiritual Beast	[LV1][LV2] (When destroyed or depleted by the opponent) Move 1 core from any opposing Spirits/Ultimates to their Reserve.								
The Shikigami Houriki	BS31	BS31-014.jpg	Common	Spirit	Purple	3		Ogre Wizard	[LV1][LV2] (When Summoned) Draw 1 card from your deck. If Soul Core was used to pay the summon cost, additionally, move 1 core from any opposing Spirits to their Reserve.								
The RedOgre Bakuzou	BS31	BS31-015.jpg	Common	Spirit	Purple	3		Vassal, Ogre Wizard									
The FallenMusha Bone	BS31	BS31-016.png	Common	Spirit	Purple	4		Vassal, Zombie	[LV1][LV2] (When Attacks) Move 1 core from any opposing Spirits to the Reserve. While there is Soul Core on this Spirit, additionally, return 1 Purple Spirit card from your Trash to your hand.								
The ArmoredWarOgre Rashou	BS31	BS31-017.png	Master Rare	Spirit	Purple	4		Vassal, Ogre Wizard	[LV1][LV2][LV3] (When Summoned) By discarding 4 cards from the top of your deck, draw 2 cards from your deck.	[LV2][LV3] While you have Soul Core in your Trash, increase the LV cost for all opposing Nexuses by +2.							
Headlessritter	BS31	BS31-018.jpg	Common	Spirit	Purple	4		Evil Shadow									
The VampireSorceror Hiren	BS31	BS31-019_500.jpg	Rare	Spirit	Purple	5		Nightling	[LV1][LV2][LV3] (When Summoned) Draw 1 card from your deck.	[LV2][LV3] (When Attacks) If there is Soul Core on this Spirit, you can discard 4 cards from the top of your deck. For each Spirit card among them, move 1 core from 1 opposing Spirit/Ultimate to their Reserve.							
The CorruptPriest Kokugou	BS31	BS31-020.jpg	Common	Spirit	Purple	5		Nightling	"[LV1][LV2] (Every Attack Step) All Spirit cards in your Trash in the ""Ogre Wizard""/ ""Spiritual Beast"" family are treated as cost 0."	"[LV2] (When destroyed or depleted by the opponent) You can summon 1 Spirit card in the ""Ogre Wizard""/ ""Spiritual Beast"" from your Trash."							
Kemurizaru	BS31	BS31-021.jpg	Uncommon	Spirit	Purple	5		Spiritual Beast	[LV1][LV2][LV3] (When destroyed/ depleted by the opponent) Move 3 cores from any opposing Spirits/ Ultimates to their Reserve. If there is Soul Core on this Spirit, additionally, draw 3 cards from your deck.								
Violet Smoke Dragon	BS31	BS31-022.jpg	Common	Spirit	Purple	6		Spiritual Beast, Dark Snake	Treat this Spirit card in the trash as Cost 3.	[LV1][LV2][LV3] (When Attacks) Destroy one opposing exhausted Spirit. While this Spirit has Soul Core on it, additionally, destroy one exhausted opposing Ultimate.							
The Shikigami Zanki	BS31	BS31-023.jpg	Common	Spirit	Purple	6		Vassal, Ogre Wizard	This Spirit card in the Trash is treated as cost 3.	[LV1][LV2][LV3] (When Battles) By moving 1 core from any opposing Spirits/ Ultimates/ Nexuses to their Reserve, draw 1 card from your deck.							
The KingOgre Naraku	BS31	BS31-024.jpg	Uncommon	Spirit	Purple	8		Ogre Wizard	This Spirit card in your Trash is treated as cost 4.	"[LV1][LV2] (When Summoned) For each of your Spirits in the ""Nightling"" family, move 2 cores from any opposing Spirits/Ultimates to their Reserve."							
The ArmoredMothShinbi Hopper	BS31	BS31-025.jpg	Common	Spirit	Green	1	High Speed (Swift)	Ninja Gale, Blade Insect	High Speed (Flash) This Spirit card in your hand can be summoned by paying the cost and placing cores on it from your Reserve.	[LV1][LV2] While there is Soul Core on this Spirit, this Spirit gets +3000 BP.							
Uzulucky	BS31	BS31-026.jpg	Common	Spirit	Green	2		Winged Beast									
The WindDemon Shinobilica	BS31	BS31-027.jpg	Common	Spirit	Green	2		Ninja Gale, Winged Beast	"[LV1][LV2] (Your Attack Step) When your Spirit in the ""Ninja Gale"" family with Soul Core on it attacks, return 1 exhausted opposing Spirit/Ultimate to their hand."								
The ArmoredMothShinobi Tokkuriwasp	BS31	BS31-028.jpg	Common	Spirit	Green	3		Ninja Gale, Blade Insect	[LV1][LV2] (When Summoned) Move 1 core from the void to this Spirit. If this Spirit was summon from the deck, additionally, exhaust 1 opposing Spirit/Ultimate.								
The WindDemon Ninkouchou	BS31	BS31-029_500.jpg	Rare	Spirit	Green	3	High Speed (Swift)	Vassal, Ninja Gale, Winged Beast	High Speed (Flash) This Spirit card in your hand can be summoned by paying the cost and placing cores on it from your Reserve.	[LV1][LV2] (When Summoned) Exhaust 1 opposing Spirit. If Soul Core was used to pay for the summon cost, additionally, move 1 core from the void to this Spirit.							
The StrangeFangShinobi Rappanther	BS31	BS31-030.png	Common	Spirit	Green	3		Vassal, Ninja Gale, Blade Beast	[LV1][LV2] (When Battles) Add one core from the void to this spirit.	[LV2] While you have Soul Core(Soul Core) in the reserve, this spirit gains +4000 BP.							
The ArmoredMothShinobbi Shurikabuto	BS31	BS31-031.png	Uncommon	Spirit	Green	4		Ninja Gale, Shellman	"[LV1][LV2][LV3] (When Attacks) By moving Soul Core from this Spirit to your Reserve, reveal 1 card from the top of your deck. If that card is a Spirit card in the ""Ninja Gale"" family, you can summon it without paying the cost. If it is any other card or not summoned, return that card to the bottom of your deck."								
The ArmoredMothShinboi Kusarikama	BS31	BS31-032.jpg	Common	Spirit	Green	5		Vassal, Ninja Gale, Blade Insect	[LV1][LV2] (When Summoned) Move 2 core from the void to your Reserve. If this Spirit was summoned from the deck, additionally, your opponent discards 1 card from their hand.	[LV2] (When Battles) Exhaust 2 opposing Ultimates.							
The StrangeFangShinobi Kokurou	BS31	BS31-033.jpg	Uncommon	Spirit	Green	5		Vassal, Ninja Gale, Blade Beast	[LV1][LV2][LV3] While you have Soul Core in your Reserve, this Spirit gets +5000 BP.	[LV1][LV2][LV3] (When Battles) Exhaust 1 opposing Spirit/Ultimate.							
The StrangeWarriorPriest Zoum	BS31	BS31-034_500.jpg	Master Rare	Spirit	Green	6		Shellman, Fusion Beast	"[LV1][LV2][LV3] Flash Timing (Every Attack Step) By exhausting 1 of your Spirits in the family ""Fusion Beast"", exhaust 1 opposing Spirit/Ultimate."	[LV2][LV3] (Opponent's Refresh Step) All opposing cost 8 or higher Spirits/Ultimates cannot refresh.							
Eldermoose	BS31	BS31-035.jpg	Common	Spirit	Green	6		Imp									
The ArmoredMothGreatShinobi Bekkou	BS31	BS31-036.png	Master Rare	Spirit	Green	7		Ninja Gale, Shellman	[LV1][LV2] (When Summoned) By moving 1 core each from the void to 2 of your Spirits, exhaust 1 opposing Spirit/Ultimate.	[LV2] (When Attacks) While there is Soul Core on this Spirit, by exhausting 1 opposing Spirit with 10000 BP or less, or 1 opposing Ultimate with 20000 BP or less, move 1 core from the opponent's Life to their Reserve.							
Ashigaru Warrior	BS31	BS31-037.jpg	Common	Spirit	White	1		Android, Clever Machine									
Cutter Swallow	BS31	BS31-038.jpg	Common	Spirit	White	2		Machine Beast	[LV1][LV2] (When destroyed by the opponent) Return 1 opposing Spirit to the hand. If there is Soul Core on this Spirit, additionally, return another opposing Spirit to the hand.								
The CleverMachineDog Setadog	BS31	BS31-039.jpg	Common	Spirit	White	2		Machine Beast, Clever Machine	[LV1][LV2] While there is Soul Core on this Spirit, this Spirit gets +5000 BP.								
The CleverMachineMusha Saiun	BS31	BS31-040.jpg	Uncommon	Spirit	White	3		Vassal, Armed Machine, Clever Machine	"[LV1][LV2][LV3] All of your Spirits in the family ""Clever Machine"" gain +3000 BP."	[LV2][LV3] (Your Opponent's End Step) When your life was not decreased this turn, add one core from the void to this Spirit. While this Spirit has Soul Core(Soul Core) on it, additionally, add 2 cores from the void to this Spirit.							
The GenjiEightKnights HizakuDefender	BS31	BS31-041.jpg	Common	Spirit	White	3	 Ultra Immunity	Armed Machine, Clever Machine	[LV1][LV2] Ultra Immunity: Purple/Blue - This Spirit cannot be affected by opposing Spirit/Ultimate/Magic/Nexus effects of the listed colors.	"[LV2] All of your Spirits with ""Genji"" in their name get [Ultra Immunity: Purple/Blue]."							
The Blizzard Gozen	BS31	BS31-042.jpg	Common	Spirit	White	3		Ice Princess	[LV1][LV2] (Opponent's Turn) When the opponent's hand increases due to opposing effects, for each card increased, your opponent discards 1 card from their hand.								
The CleverMachineGeneral Shigure	BS31	BS31-043.png	Rare	Spirit	White	4		Vassal, Armed Machine, Clever Machine	[LV1][LV2][LV3] (Opponent's Attack Step) This Spirit can block while exhausted.	[LV1][LV2][LV3] (Opponent's Turn) This Spirit gets +4000 BP.	[LV3] (When Attacks) By moving Soul Core from this Spirit to your Trash, this Spirit cannot be blocked by opposing Spirits.						
The GenjiEightKnights UsukaneStriker	BS31	BS31-044.png	Master Rare	Spirit	White	5		Armed Machine, Clever Machine	[LV1][LV2][LV3] (When Attacks) Discard 1 opposing set Burst. When a set Burst is discarded by this effect, return 1 opposing Spirit/Ultimate to their hand.	"[LV2][LV3] (Your Attack Step) While there is Soul Core on this Spirit, give all of your Spirits with ""Genji"" in their name the following effect ""(When Attacks) At the end of battle, for once per turn, you can refresh this Spirit.""."							
The CleverMachineGeneral Gyouten	BS31	BS31-045.jpg	Common	Spirit	White	5		Vassal, Armed Machine, Clever Machine	[LV1][LV2] (Opponent's End Step) During this turn, if your Life was not decreased, return 1 opposing Spirit/Ultimate to their hand.	[LV2] (Start of Opponent's Attack Step) You can target 1 opposing Ultimate. The targeted Ultimate cannot attack during this turn.							
Brittlelizard	BS31	BS31-046.jpg	Common	Spirit	White	6		Armored Dragon									
The GunBeastMachine Liomael	BS31	BS31-047.png	Common	Spirit	White	7		Machine Beast	[LV1][LV2] (When Summoned) Return all opposing Spirits with 10000 BP or less to the hand. If Soul Core was used to pay for the summon cost, instead, return all opposing Ultimates with 15000 BP or less to the hand.								
The GiantArmCleverMachineMusha Rakan	BS31	BS31-048.png	Uncommon	Spirit	White	8		Vassal, Armed Machine, Clever Machine	"[LV1][LV2][LV3] (When Summoned) For each of your Spirits in the ""Clever Machine"" family, return 1 opposing Spirit to their hand."	[LV1][LV2][LV3] (Opponent's Attack Step) This Spirit can block while exhausted.	[LV2][LV3] (Opponent's Attack Step) All opposing Spirits with 10000 BP or less must attack this Spirit if possible.						
One-Eyed Priest	BS31	BS31-049.jpg	Common	Spirit	Yellow	0		Youkai	"[LV1][LV2] (When Destroyed) Refresh 1 of your Spirits in the ""Youkai"" family."								
Karakasa Man	BS31	BS31-050.jpg	Common	Spirit	Yellow	1		Youkai									
Kappappa	BS31	BS31-051.png	Common	Spirit	Yellow	2		Vassal, Youkai	"[LV1][LV2] (When Destroyed) Refresh 1 of your Spirits in the ""Youkai"" family."								
Wankoma	BS31	BS31-052.jpg	Common	Spirit	Yellow	2		Hunter Beast, Youkai	"When this Spirit card is discarded by opposing ""deck discarding effects"", you can put all the cards in your Trash at the bottom of your deck in any order."	[LV1][LV2] When any of your other Spirits are destroyed, refresh this Spirit.							
The SengokuPrincess Ruri	BS31	BS31-053.jpg	Uncommon	Spirit	Yellow	3		Fairy, War Princess	[LV1][LV2] (When Summoned) You can reveal 3 cards from the top of your deck. Add 1 Magic card without a Burst effect from among them to your hand. Return the remaining cards to the bottom of your deck in any order. If Soul Core was used to pay for the summon cost, the number of cards revealed by this effect becomes 6.								
Zashiki Girl	BS31	BS31-054.jpg	Common	Spirit	Yellow	3		Youkai	"[LV1][LV2] (Your Main Step) While there is a Soul Core(Soul Core) on this Spirit, when you summon a Spirit in the ""Youkai"" family, draw 1 card from your deck."								
The SengokuAngelia Mushael	BS31	BS31-055.jpg	Common	Spirit	Yellow	4		Divine Spirit, War Princess	"[LV1][LV2][LV3] When any of your Spirits in the ""War Princess"" family are destroyed by opposing effects, they can remain on the Field exhausted."	"[LV3] Flash Timing (Your Attack Step) By moving Soul Core on any of your Spirits in the ""War Princess"" family to Trash, 1 opposing Spirit or Ultimate gets -5000 BP until end of the battle."							
Kashaneko	BS31	BS31-056.png	Rare	Spirit	Yellow	4		Vassal, Youkai	"[LV1][LV2][LV3] (When Summoned) Return 2 Spirit cards in the ""Youkai"" family other than ""Kashaneko"" from your Trash to your hand."	"[LV2][LV3] (When Attacks) By moving Soul Core on this Spirit to your Trash, refresh 2 of your Spirits in the ""Youkai"" family other than ""Kashaneko""."							
Nurikabe	BS31	BS31-057.jpg	Common	Spirit	Yellow	4		Vassal, Youkai									
The SengokuPrincess Raika	BS31	BS31-058.jpg	Common	Spirit	Yellow	5	Dispersion	Fairy, War Princess	[LV1][LV2][LV3] Dispersion: 2 (When Battles) When using Magic cards that target 1 opposing Spirit or Ultimate, treat the number of targets as 2.	[LV2][LV3] (When Battles) When you use a Magic card, return 1 opposing Spirit or Ultimate with cost equal to or less than the Magic to their hand.							
The SengokuPrincess Trickster	BS31	BS31-059.png	Master Rare	Spirit	Yellow	6		Clown, War Princess	[LV1][LV2] (When Attacks) You can reveal 5 cards from the top of your deck, add all the Magic cards from among them to your hand, and discard the remaining cards.	[LV2] (Your Attack Step) All Magic cards in your hand gets -1 cost.							
DoroTurbo	BS31	BS31-060.png	Uncommon	Spirit	Yellow	8		Youkai	"[LV1][LV2][LV3] (Your Attack Step) While there is Soul Core on this Spirit, when your Spirits in the ""Youkai"" family attack, your opponent can only block with Spirits/Ultimates with the same cost as your attacking Spirit."								
