Name	Set	ImageFile	Rarity	Type	Color	Cost	Ability	Family	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5	Skill 6	Skill 7	Skill 8	Banned/Restricted
zzzCore(Blue)	GameItem	BlueCore.png	Aizame/Sharkaon/Yuichiro Rare														
zzzSoul Core	GameItem	Soul_Core.png	Deividy/Castan Rare														
Goradon	BS01	Goradon2.jpg	Common	Spirit	Red	0		Reptile Beast									
Rokceratops	BS01	Rokceratops2.jpg	Common	Spirit	Red	1		Terra Dragon									
Teranosaber	BS01	Teranosaber2.jpg	Common	Spirit	Red	2		Flying Fang	[LV1] (During Opponent's Battle Phase) This spirit cannot block.								
The Scout Dragno	BS01	Scoutdragno2.jpg	Common	Spirit	Red	2		Dragon	[LV1][LV2] (When Attacks) This spirit gets + 2000BP until end of turn.								
Eyeburn	BS01	Eyeburn2.jpg	Common	Spirit	Red	2		Winged Dragon									
Merat	BS01	Merat2.jpg	Common	Spirit	Red	2		Drifting Spirit	[LV1][LV2] (Your Start Step) Move 1 core from this spirit to your Reserve.	[LV1][LV2] (Permanent) Each time 1 or more cores are put on this spirit except due to the effect of a spirit, nexus or magic, this spirit cannot attack this turn.							
Hummerdrake	BS01	Hummerdrake2.jpg	Common	Spirit	Red	2		Terra Dragon	[LV1][LV2][LV3] (When Summoned) Remove 1 core from a card you control or your Trash.								
Metalburn	BS01	Metalburn2.jpg	Common	Spirit	Red	3		Machine Dragon									
Volc-Baboon	BS01	Volc-baboon2.jpg	Common	Spirit	Red	3		Emperor Beast	[LV1][LV2] (During Opponent's Battle Phase) This spirit cannot block								
Chakrambat	BS01	Chakrambat2.jpg	Common	Spirit	Red	3		Flying Fang	[LV1][LV2] (When Attacks) This spirit gets +4000BP until end of turn.								
Dragsaurus	BS01	Dragsaurus2.jpg	Uncommon	Spirit	Red	3		Reptile Beast	[LV1][LV2][LV3] (When Summoned) Destroy target nexus.								
Tryswordon	BS01	Tryswordon2.jpg	Common	Spirit	Red	4		Terra Dragon	[LV2] (During Opponent's Battle Phase) This spirit cannot block spirits with BP lower than this spirit's BP.								
Taurusknight	BS01	Taurusknight2.jpg	Common	Spirit	Red	4		Mounted Warrior	[LV1][LV2][LV3] Flash Evolution - You may move any number of cores from spirits you control to this spirit.								
The Shaman Dragno	BS01	Shamandragno2.jpg	Rare	Spirit	Red	4		Dragon	[LV1][LV2] (When Summoned) Move target spirit card from your trash to your hand.								
Spinoaxe	BS01	Spinoaxe2.jpg	Common	Spirit	Red	4		Terra Dragon	[LV1][LV2] (When Attacks) This spirit cannot be blocked by spirits with High Speed this turn.								
Skelton-Jaw	BS01	Skeleton-jaw2.jpg	Uncommon	Spirit	Red	5		Winged Dragon	[LV1][LV2][LV3] (During Opponent's Battle Phase) This spirit cannot block opposing spirits.	[LV2][LV3] (When Attacks) This spirit gets +1000BP for each unexhausted spirit your opponent controls until end of turn.							
Lanceraptor	BS01	Laceraptor2.jpg	Common	Spirit	Red	5		Terra Dragon	[LV1][LV2] (When Summoned) You may destroy target spirit with 2000BP or less.								
Lizardman	BS01	Lizardman2.jpg	Common	Spirit	Red	5		Reptile Beast	[LV1][LV2][LV3] (During Opponent's Battle Phase) This spirit cannot block spirits with BP lower than this spirit's BP.								
Jurassickle	BS01	Jurassickle2.jpg	Common	Spirit	Red	5		Terra Dragon	[LV1][LV2] (When Attacks) This spirit gets +4000BP until end of turn.								
The BladeDragon Steelanodon	BS01	Steelanodon2.jpg	Uncommon	Spirit	Red	6	Evolution (Awaken)	Winged Dragon	[LV1][LV2] Flash Evolution - You may move any number of cores from spirits you control to this spirit.								
The FlameDragon Ma-Gwo	BS01	Ma-gwo2.jpg	Master Rare	Spirit	Red	6		Dragon, Ancient Dragon	"[LV1][LV2][LV3] (Permanent) This spirit gets +1000BP for each ""Dragon"" spirit you control."								
The Sickle Fool-Joker	BS01	Fool-joker2.jpg	Rare	Spirit	Red	6		Clown	[LV2] (When Attacks) You may destroy target spirit with 3000BP or less.								
The Fire LithoGraphica Phoenixious	BS01	Phoenixious2.jpg	Master Rare	Spirit	Red	7		Flying Fang	[LV1][LV2] (When Summoned) Destroy all spirits with 3000BP or less.	[LV2] (During the Battle Phase) Each time this spirit defeats a spirit, gain one core on this spirit.							
The CrystalDragon Diamat	BS01	Diamat2.jpg	Rare	Spirit	Red	7		Giant Beast	[LV1][LV2] (When Summoned) You may destroy target spirit with High Speed.								
The DragonicFortress Giga	BS01	Giga2.jpg	Master Rare	Spirit	Red	8		Machine Dragon	[LV1][LV2] (When Summoned) You may destroy target spirit with 6000BP or less.	[LV2] (During the Battle Phase) Each time this spirit defeats a spirit, you may move any number of cores from this spirit to other cards you control.							
Foger	BS01	Foger2.jpg	Common	Spirit	Purple	0		Darkling									
Will-Orb	BS01	Will-orb2.jpg	Common	Spirit	Purple	1		Darkling	[LV1] (During Your Battle Phase) This spirit must attack if possible.								
